0,1,2,3,4,5
0.14030892,0.14854299,-0.12840097,-0.1503178,0.119967185,-0.18687358
0.14058897,0.14630355,-0.13070488,-0.14300287,0.12398035,-0.16808914
0.14078334,0.14328513,-0.13222075,-0.13266373,0.12600113,-0.14086117
0.14062825,0.1412773,-0.13095912,-0.12570748,0.12108299,-0.12134754
0.14036909,0.13833052,-0.12889148,-0.11529247,0.114006065,-0.09371628
0.13976467,0.13385728,-0.12409317,-0.09957492,0.100254215,-0.05464915
0.13904274,0.12989838,-0.118345305,-0.0860623,0.08451177,-0.022940533
0.13829212,0.12659873,-0.11226322,-0.075295895,0.0684721,-0.00015330358
0.13717106,0.122133926,-0.103184745,-0.06123542,0.04611435,0.026633646
0.1357609,0.11660596,-0.092061825,-0.044411864,0.020349607,0.055145312
0.13427451,0.110855155,-0.08056015,-0.027600434,-0.004749185,0.0803154
0.13259944,0.104494534,-0.06809476,-0.009906404,-0.03000518,0.10257968
0.13113654,0.09898624,-0.057519585,0.0046467367,-0.049919605,0.117530115
0.12931098,0.09221703,-0.04475735,0.021426609,-0.071298584,0.13035576
0.12746939,0.08541207,-0.032183677,0.0372128,-0.08995119,0.13851947
0.12534165,0.07777765,-0.018387178,0.053549714,-0.107409805,0.14227207
0.123343,0.07069226,-0.0059143845,0.067496784,-0.12064829,0.1414697
0.12114554,0.06311515,0.0069698934,0.08088786,-0.13106292,0.13573736
0.11844512,0.053977545,0.022026984,0.095089376,-0.13943145,0.12434731
0.11545475,0.044071354,0.03769057,0.10841655,-0.14422357,0.107235335
0.113162264,0.036598925,0.04901154,0.11708022,-0.14472689,0.09157653
0.110229135,0.027359614,0.062298078,0.1254833,-0.14136115,0.06914505
0.1069474,0.017282994,0.07607514,0.13235421,-0.13393568,0.042935137
0.10394945,0.008368807,0.08746647,0.13643925,-0.12360675,0.01820117
0.100918606,-0.000386521,0.09784724,0.13838966,-0.11061448,-0.0063847825
0.098458685,-0.0072410433,0.10531282,0.13834834,-0.09792448,-0.02579556
0.095452875,-0.015381764,0.11338262,0.1361259,-0.08099518,-0.047621068
0.09201582,-0.024302883,0.1212398,0.13146898,-0.06024901,-0.070073225
0.088517025,-0.03303612,0.12800345,0.12478299,-0.038234193,-0.08957819
0.08468465,-0.04220981,0.1339582,0.115592204,-0.013777526,-0.10740036
0.08136643,-0.04981364,0.13792334,0.106049545,0.007397622,-0.11885327
0.07774448,-0.057726134,0.14090718,0.09431791,0.0297842,-0.12740068
0.0742393,-0.06505767,0.14259458,0.08165842,0.050244167,-0.13122885
0.07052171,-0.07234865,0.14306268,0.06727368,0.07026256,-0.13097098
0.06697682,-0.07896862,0.14243181,0.052686717,0.08750745,-0.12659484
0.06299114,-0.085896544,0.14034012,0.03587279,0.10408717,-0.1176942
0.057537105,-0.09486855,0.1358845,0.012593556,0.12272016,-0.10058584
0.05405677,-0.10014106,0.13199046,-0.0024554695,0.13205595,-0.08681903
0.050178047,-0.10563337,0.1266095,-0.019124223,0.13901676,-0.06867816
0.04575346,-0.11134392,0.11932265,-0.037409253,0.14326642,-0.046312712
0.04193881,-0.11586465,0.11217172,-0.05276527,0.14354503,-0.025347266
0.037313506,-0.12073974,0.10248305,-0.06997988,0.14022641,6.2694235e-05
0.033444777,-0.124389395,0.09362104,-0.083531454,0.13412505,0.02156855
0.02889421,-0.12811069,0.08232563,-0.09773766,0.12368566,0.045333304
0.023405643,-0.1320039,0.067902036,-0.112828024,0.107234746,0.0720513
0.01881083,-0.13470523,0.055244602,-0.12366211,0.09077449,0.091689005
0.014867525,-0.13656639,0.043923616,-0.13146499,0.074274704,0.10601652
0.010150264,-0.13816494,0.030075964,-0.13825843,0.05306224,0.118745714
0.0060324445,-0.13912247,0.017757148,-0.14238611,0.0330123,0.12641433
0.0013691314,-0.13957997,0.0036367143,-0.14440644,0.009919651,0.13001163
-0.0031673328,-0.13957144,-0.010124053,-0.14437214,-0.013089916,0.12957494
-0.0066902624,-0.13906908,-0.020750456,-0.14229539,-0.03087122,0.12537031
-0.012016727,-0.13771982,-0.03658359,-0.136854,-0.05638066,0.11437348
-0.015999988,-0.13620968,-0.048205636,-0.1306604,-0.0744138,0.102441184
-0.01957298,-0.13444929,-0.058327492,-0.12343353,-0.0893972,0.08868186
-0.025242696,-0.13094477,-0.07361616,-0.109702215,-0.10922362,0.0632486
-0.028593017,-0.1285618,-0.08226506,-0.10008426,-0.11974901,0.046259552
-0.033562444,-0.1242735,-0.09421489,-0.08408772,-0.13094924,0.019380054
-0.038039606,-0.11993094,-0.104283065,-0.06832225,-0.1382064,-0.005793898
-0.04195799,-0.115626544,-0.11224966,-0.05318345,-0.14099096,-0.027975986
-0.04690401,-0.109673716,-0.12130816,-0.033389416,-0.14096162,-0.05496074
-0.04939837,-0.10640594,-0.12517446,-0.022400236,-0.13842072,-0.068199724
-0.05390538,-0.09995939,-0.13107717,-0.003046019,-0.130663,-0.08899736
-0.059193917,-0.09172119,-0.13656549,0.019947879,-0.11706466,-0.10965311
-0.06226467,-0.08663452,-0.13884217,0.033490583,-0.10666489,-0.11943524
-0.0671878,-0.07781847,-0.14106824,0.054505117,-0.08646669,-0.12959255
-0.070581324,-0.071461074,-0.14157781,0.06860689,-0.070542395,-0.1335336
-0.074723154,-0.06313574,-0.14067431,0.08485506,-0.04835447,-0.13280176
-0.07846974,-0.05529749,-0.13869514,0.09851663,-0.02723271,-0.12830846
-0.081187114,-0.04927063,-0.13616492,0.107556485,-0.010125683,-0.12136436
-0.08476453,-0.04102937,-0.13178542,0.117866404,0.012038084,-0.10838358
-0.08809471,-0.032920897,-0.12636374,0.12588835,0.033406727,-0.09175067
-0.09172715,-0.023801686,-0.11931303,0.13286825,0.055821378,-0.07068546
-0.095541485,-0.013765693,-0.11031399,0.13796851,0.07871923,-0.04447858
-0.09858266,-0.0055167587,-0.10210666,0.1401821,0.095695116,-0.021950446
-0.10172404,0.0033569476,-0.092362925,0.14032647,0.11167378,0.0034620827
-0.1046289,0.011796748,-0.08235241,0.13837092,0.12396326,0.027357303
-0.1074674,0.020343008,-0.07146789,0.13428803,0.13378803,0.051281594
-0.11009537,0.028413331,-0.060549133,0.12849107,0.13985263,0.07211501
-0.1129901,0.037597906,-0.047418382,0.1199383,0.14340107,0.094012074
-0.11536949,0.045320667,-0.035819046,0.11081425,0.14288431,0.109655954
-0.11764453,0.052953113,-0.023843331,0.100135684,0.13934883,0.12274659
-0.120160304,0.06149886,-0.009848127,0.08636512,0.13124907,0.13280746
-0.12204148,0.06811998,0.0013163199,0.07416857,0.12216848,0.13775375
-0.124363974,0.07632717,0.015688945,0.057560243,0.10702535,0.13832945
-0.12666349,0.08466771,0.030655488,0.03917537,0.08816167,0.1341107
-0.1292423,0.09414244,0.048198592,0.016640667,0.062580235,0.12235479
-0.13093562,0.10052931,0.060181092,0.00032824997,0.042747207,0.11072848
-0.13251536,0.106493436,0.07165004,-0.015902555,0.021559464,0.09488338
-0.13380489,0.11149546,0.08135409,-0.030268723,0.002070638,0.07839084
-0.13493872,0.11586705,0.08993832,-0.043414563,-0.016827635,0.05983265
-0.13638766,0.12162868,0.10138672,-0.061322477,-0.042719338,0.0312329
-0.13752738,0.12610844,0.1104054,-0.07570737,-0.064442165,0.004990493
-0.13846311,0.13026129,0.11807929,-0.089651905,-0.08372616,-0.023187414
-0.13938852,0.1351076,0.12563019,-0.10653928,-0.10315216,-0.06163885
-0.13980608,0.13786055,0.12909134,-0.11624162,-0.113013335,-0.08511615
-0.14005925,0.14047296,0.13104135,-0.12553084,-0.11921411,-0.10964533
-0.14005752,0.14397901,0.13097316,-0.13780673,-0.12025134,-0.14176622
-0.13986455,0.14695822,0.12927508,-0.1480401,-0.117485754,-0.1691371
-0.13965021,0.14903018,0.12749797,-0.15476121,-0.114371076,-0.18694128
